event_index,player_game_number,player_id,player_team,player_role,role_number,play_detail1,play_detail_2,play_detail_successful,event_key,event_player_key,player_game_key,game_id,skill_rating,is_primary_player,is_event_team,is_opp_team
1063,84.0,,Velodrome,event_team_player_1,1.0,Breakout,,s,18969_1063,18969_1063_84,18969_84,18969,5.0,1,1,0
1063,91.0,,Velodrome,event_team_player_2,2.0,,,,18969_1063,18969_1063_91,18969_91,18969,4.0,0,1,0
1064,84.0,,Velodrome,event_team_player_1,1.0,Breakout,,s,18969_1064,18969_1064_84,18969_84,18969,5.0,1,1,0
1064,91.0,,Velodrome,event_team_player_2,2.0,,,,18969_1064,18969_1064_91,18969_91,18969,4.0,0,1,0
1065,91.0,,Velodrome,event_team_player_1,1.0,,,,18969_1065,18969_1065_91,18969_91,18969,4.0,1,1,0
1066,91.0,,Velodrome,event_team_player_1,1.0,AttemptedEntryDumpIn,,u,18969_1066,18969_1066_91,18969_91,18969,4.0,1,1,0
1067,91.0,,Velodrome,event_team_player_1,1.0,,,,18969_1067,18969_1067_91,18969_91,18969,4.0,1,1,0
1068,3.0,,Platinum,event_team_player_1,1.0,,,,18969_1068,18969_1068_3,18969_3,18969,4.0,1,1,0
1069,3.0,,Platinum,event_team_player_1,1.0,AttemptedBreakOutPass,,u,18969_1069,18969_1069_3,18969_3,18969,4.0,1,1,0
1069,82.0,,Platinum,event_team_player_2,2.0,ReceiverMissed,,u,18969_1069,18969_1069_82,18969_82,18969,2.0,0,1,0
1070,3.0,,Platinum,event_team_player_1,1.0,,,,18969_1070,18969_1070_3,18969_3,18969,4.0,1,1,0
1070,82.0,,Platinum,event_team_player_2,2.0,,,,18969_1070,18969_1070_82,18969_82,18969,2.0,0,1,0
1071,3.0,,Platinum,event_team_player_1,1.0,,,,18969_1071,18969_1071_3,18969_3,18969,4.0,1,1,0
1071,82.0,,Platinum,event_team_player_2,2.0,,,,18969_1071,18969_1071_82,18969_82,18969,2.0,0,1,0
1072,93.0,,Velodrome,event_team_player_1,1.0,RecoveryRetreivalPass,,s,18969_1072,18969_1072_93,18969_93,18969,3.0,1,1,0
1073,93.0,,Velodrome,event_team_player_1,1.0,,,,18969_1073,18969_1073_93,18969_93,18969,3.0,1,1,0
1073,84.0,,Velodrome,event_team_player_2,2.0,,,,18969_1073,18969_1073_84,18969_84,18969,5.0,0,1,0
1074,84.0,,Velodrome,event_team_player_1,1.0,,,,18969_1074,18969_1074_84,18969_84,18969,5.0,1,1,0
1075,84.0,,Velodrome,event_team_player_1,1.0,AttemptedEntryPass,,u,18969_1075,18969_1075_84,18969_84,18969,5.0,1,1,0
1075,82.0,,Platinum,opp_team_player_1,1.0,ForcedDumpin/Clear,,s,18969_1075,18969_1075_82,18969_82,18969,2.0,0,0,1
1076,84.0,,Velodrome,event_team_player_1,1.0,,,,18969_1076,18969_1076_84,18969_84,18969,5.0,1,1,0
1076,82.0,,Platinum,opp_team_player_1,1.0,,,,18969_1076,18969_1076_82,18969_82,18969,2.0,0,0,1
1077,78.0,,Platinum,event_team_player_1,1.0,RecoveryRetreivalDumpIn,,u,18969_1077,18969_1077_78,18969_78,18969,3.0,1,1,0
1078,78.0,,Platinum,event_team_player_1,1.0,AttemptedBreakOutPass,,u,18969_1078,18969_1078_78,18969_78,18969,3.0,1,1,0
1078,34.0,,Platinum,event_team_player_2,2.0,,,,18969_1078,18969_1078_34,18969_34,18969,4.0,0,1,0
1078,61.0,,Velodrome,opp_team_player_1,1.0,PassDeflected,,s,18969_1078,18969_1078_61,18969_61,18969,3.0,0,0,1
1079,78.0,,Platinum,event_team_player_1,1.0,RecoveryRetreivalPass,,u,18969_1079,18969_1079_78,18969_78,18969,3.0,1,1,0
1079,61.0,,Velodrome,opp_team_player_1,1.0,,,,18969_1079,18969_1079_61,18969_61,18969,3.0,0,0,1
1080,78.0,,Platinum,event_team_player_1,1.0,AttemptedBreakOutClear,,u,18969_1080,18969_1080_78,18969_78,18969,3.0,1,1,0
1080,61.0,,Velodrome,opp_team_player_1,1.0,,,,18969_1080,18969_1080_61,18969_61,18969,3.0,0,0,1
1081,42.0,,Velodrome,event_team_player_1,1.0,RecoveryRetreivalAttemptedClear,,s,18969_1081,18969_1081_42,18969_42,18969,5.0,1,1,0
1081,34.0,,Platinum,opp_team_player_1,1.0,RecoveryRetreivalAttemptedClear,,u,18969_1081,18969_1081_34,18969_34,18969,4.0,0,0,1
1082,42.0,,Velodrome,event_team_player_1,1.0,,,,18969_1082,18969_1082_42,18969_42,18969,5.0,1,1,0
1082,3.0,,Platinum,opp_team_player_1,1.0,,,,18969_1082,18969_1082_3,18969_3,18969,4.0,0,0,1
1083,42.0,,Velodrome,event_team_player_1,1.0,,,,18969_1083,18969_1083_42,18969_42,18969,5.0,1,1,0
1083,91.0,,Velodrome,event_team_player_2,2.0,,,,18969_1083,18969_1083_91,18969_91,18969,4.0,0,1,0
1083,3.0,,Platinum,opp_team_player_1,1.0,PassDeflected,StickCheck,s,18969_1083,18969_1083_3,18969_3,18969,4.0,0,0,1
1084,42.0,,Velodrome,event_team_player_1,1.0,,,,18969_1084,18969_1084_42,18969_42,18969,5.0,1,1,0
1084,91.0,,Velodrome,event_team_player_2,2.0,,,,18969_1084,18969_1084_91,18969_91,18969,4.0,0,1,0
1084,3.0,,Platinum,opp_team_player_1,1.0,,,,18969_1084,18969_1084_3,18969_3,18969,4.0,0,0,1
1085,34.0,,Platinum,event_team_player_1,1.0,RecoveryRetreivalPass,,u,18969_1085,18969_1085_34,18969_34,18969,4.0,1,1,0
1086,34.0,,Platinum,event_team_player_1,1.0,AttemptedBreakOutClear,,u,18969_1086,18969_1086_34,18969_34,18969,4.0,1,1,0
1086,91.0,,Velodrome,opp_team_player_1,1.0,,,,18969_1086,18969_1086_91,18969_91,18969,4.0,0,0,1
1087,9.0,,Velodrome,event_team_player_1,1.0,RecoveryRetreivalAttemptedClear,ZoneKeepin,u,18969_1087,18969_1087_9,18969_9,18969,4.0,1,1,0
1088,9.0,,Velodrome,event_team_player_1,1.0,,,,18969_1088,18969_1088_9,18969_9,18969,4.0,1,1,0
1089,9.0,,Velodrome,event_team_player_1,1.0,Dump/RimInZone,,u,18969_1089,18969_1089_9,18969_9,18969,4.0,1,1,0
1089,91.0,,Velodrome,event_team_player_2,2.0,,,,18969_1089,18969_1089_91,18969_91,18969,4.0,0,1,0
1089,34.0,,Platinum,opp_team_player_1,1.0,,,,18969_1089,18969_1089_34,18969_34,18969,4.0,0,0,1
