rink_zone_id,zone_code,zone_name,granularity,x_min,x_max,y_min,y_max,zone,danger,side,x_description,y_description
RZOZ77,OZ77,top of circle to half way to blue - hash to post,fine,38.5,54.0,5.5,7.5,offensive,mid,center,top of circle to half way to blue,hash to post
RZOZ78,OZ78,top of circle to half way to blue - hash to half way to dot,fine,38.5,54.0,7.5,15.0,offensive,low,left,top of circle to half way to blue,hash to half way to dot
RZOZ79,OZ79,top of circle to half way to blue - half way to dot to dot,fine,38.5,54.0,15.0,22.5,offensive,low,left,top of circle to half way to blue,half way to dot to dot
RZOZ80,OZ80,top of circle to half way to blue - dot to half way to dot,fine,38.5,54.0,22.5,30.0,offensive,low,left,top of circle to half way to blue,dot to half way to dot
RZOZ81,OZ81,top of circle to half way to blue - half way to dot to hash,fine,38.5,54.0,30.0,37.5,offensive,low,left,top of circle to half way to blue,half way to dot to hash
RZOZ82,OZ82,top of circle to half way to blue - hash to boards,fine,38.5,54.0,37.5,42.5,offensive,low,left,top of circle to half way to blue,hash to boards
RZOZ83,OZ83,half way to blue to blue - boards to hash,fine,22.5,38.5,-42.5,-37.5,offensive,low,right,half way to blue to blue,boards to hash
RZOZ84,OZ84,half way to blue to blue - hash to half way to dot,fine,22.5,38.5,-37.5,-30.0,offensive,low,right,half way to blue to blue,hash to half way to dot
RZOZ85,OZ85,half way to blue to blue - half way to dot to dot,fine,22.5,38.5,-30.0,-22.5,offensive,low,right,half way to blue to blue,half way to dot to dot
RZOZ86,OZ86,half way to blue to blue - dot to half way to dot,fine,22.5,38.5,-22.5,-15.0,offensive,low,right,half way to blue to blue,dot to half way to dot
RZOZ87,OZ87,half way to blue to blue - half way to dot to hash,fine,22.5,38.5,-15.0,-7.5,offensive,low,right,half way to blue to blue,half way to dot to hash
RZOZ88,OZ88,half way to blue to blue - hash to post,fine,22.5,38.5,-7.5,-5.5,offensive,low,center,half way to blue to blue,hash to post
RZOZ89,OZ89,half way to blue to blue - post to post,fine,22.5,38.5,-5.5,5.5,offensive,low,center,half way to blue to blue,post to post
RZOZ90,OZ90,half way to blue to blue - hash to post,fine,22.5,38.5,5.5,7.5,offensive,low,center,half way to blue to blue,hash to post
RZOZ91,OZ91,half way to blue to blue - hash to half way to dot,fine,22.5,38.5,7.5,15.0,offensive,low,left,half way to blue to blue,hash to half way to dot
RZOZ92,OZ92,half way to blue to blue - half way to dot to dot,fine,22.5,38.5,15.0,22.5,offensive,low,left,half way to blue to blue,half way to dot to dot
RZOZ93,OZ93,half way to blue to blue - dot to half way to dot,fine,22.5,38.5,22.5,30.0,offensive,low,left,half way to blue to blue,dot to half way to dot
RZOZ94,OZ94,half way to blue to blue - half way to dot to hash,fine,22.5,38.5,30.0,37.5,offensive,low,left,half way to blue to blue,half way to dot to hash
RZOZ95,OZ95,half way to blue to blue - hash to boards,fine,22.5,38.5,37.5,42.5,offensive,low,left,half way to blue to blue,hash to boards
RZON01,ON01,offensive neutral zone - boards to dot,fine,0.0,22.5,-42.5,-22.5,neutral,low,right,offensive neutral zone,boards to dot
RZON02,ON02,offensive neutral zone - dot to center dot,fine,0.0,22.5,-22.5,0.0,neutral,low,center,offensive neutral zone,dot to center dot
RZON03,ON03,offensive neutral zone - center dot to dot,fine,0.0,22.5,0.0,22.5,neutral,low,left,offensive neutral zone,center dot to dot
RZON04,ON04,offensive neutral zone - dot to boards,fine,0.0,22.5,22.5,42.5,neutral,low,left,offensive neutral zone,dot to boards
RZDZ01,DZ01,behind net - boards to far hash,fine,-89.0,-100.0,-42.5,-7.5,defensive,low,right,behind net,boards to far hash
RZDZ02,DZ02,behind net - hash to center,fine,-89.0,-100.0,-7.5,0.0,defensive,low,center,behind net,hash to center
RZDZ03,DZ03,behind net - center to hash,fine,-89.0,-100.0,0.0,7.5,defensive,low,center,behind net,center to hash
RZDZ04,DZ04,behind net - hash to boards,fine,-89.0,-100.0,7.5,42.5,defensive,low,left,behind net,hash to boards
RZDZ05,DZ05,goal line to bottom circle - boards to hash,fine,-84.0,-89.0,-42.5,-37.5,defensive,low,right,goal line to bottom circle,boards to hash
RZDZ06,DZ06,goal line to bottom circle - hash to half way to dot,fine,-84.0,-89.0,-37.5,-30.0,defensive,low,right,goal line to bottom circle,hash to half way to dot
RZDZ07,DZ07,goal line to bottom circle - half way to dot to dot,fine,-84.0,-89.0,-30.0,-22.5,defensive,low,right,goal line to bottom circle,half way to dot to dot
RZDZ08,DZ08,goal line to bottom circle - dot to half way to dot,fine,-84.0,-89.0,-22.5,-15.0,defensive,low,right,goal line to bottom circle,dot to half way to dot
RZDZ09,DZ09,goal line to bottom circle - half way to dot to hash,fine,-84.0,-89.0,-15.0,-7.5,defensive,low,right,goal line to bottom circle,half way to dot to hash
RZDZ10,DZ10,goal line to bottom circle - hash to post,fine,-84.0,-89.0,-7.5,-5.5,defensive,high,center,goal line to bottom circle,hash to post
RZDZ11,DZ11,goal line to bottom circle - post to post,fine,-84.0,-89.0,-5.5,5.5,defensive,high,center,goal line to bottom circle,post to post
RZDZ12,DZ12,goal line to bottom circle - hash to post,fine,-84.0,-89.0,5.5,7.5,defensive,high,center,goal line to bottom circle,hash to post
RZDZ13,DZ13,goal line to bottom circle - hash to half way to dot,fine,-84.0,-89.0,7.5,15.0,defensive,low,left,goal line to bottom circle,hash to half way to dot
RZDZ14,DZ14,goal line to bottom circle - half way to dot to dot,fine,-84.0,-89.0,15.0,22.5,defensive,low,left,goal line to bottom circle,half way to dot to dot
RZDZ15,DZ15,goal line to bottom circle - dot to half way to dot,fine,-84.0,-89.0,22.5,30.0,defensive,low,left,goal line to bottom circle,dot to half way to dot
RZDZ16,DZ16,goal line to bottom circle - half way to dot to hash,fine,-84.0,-89.0,30.0,37.5,defensive,low,left,goal line to bottom circle,half way to dot to hash
RZDZ17,DZ17,goal line to bottom circle - hash to boards,fine,-84.0,-89.0,37.5,42.5,defensive,low,left,goal line to bottom circle,hash to boards
RZDZ18,DZ18,bottom of circle to half way to dot - boards to hash,fine,-76.5,-84.0,-42.5,-37.5,defensive,low,right,bottom of circle to half way to dot,boards to hash
RZDZ19,DZ19,bottom of circle to half way to dot - hash to half way to dot,fine,-76.5,-84.0,-37.5,-30.0,defensive,low,right,bottom of circle to half way to dot,hash to half way to dot
RZDZ20,DZ20,bottom of circle to half way to dot - half way to dot to dot,fine,-76.5,-84.0,-30.0,-22.5,defensive,low,right,bottom of circle to half way to dot,half way to dot to dot
