scoring_chance_key,game_id,event_id,period,is_goal,danger_level,is_rebound,is_rush,is_odd_man,event_detail,event_detail_2,time_bucket_id,strength_id,shot_type_id,time_to_next_event,time_from_last_event,time_to_next_goal_for,time_to_next_goal_against,time_from_last_goal_for,time_from_last_goal_against,time_to_next_stoppage,time_from_last_stoppage,event_player_1_toi,event_player_2_toi,event_player_3_toi,event_player_4_toi,event_player_5_toi,event_player_6_toi,opp_player_1_toi,opp_player_2_toi,opp_player_3_toi,opp_player_4_toi,opp_player_5_toi,opp_player_6_toi,team_on_ice_toi_avg,team_on_ice_toi_min,team_on_ice_toi_max,opp_on_ice_toi_avg,opp_on_ice_toi_min,opp_on_ice_toi_max
SC18969_EV1896901951,18969,EV1896901951,2,0,medium,0,0,0,Shot_OnNetSaved,Shot_Wrist,,,,1.0,0.0,35.0,325.0,1634.0,1126.0,35.0,31.0,1705.0,,,,,,3158.0,,,,,,1705.0,1705.0,1705.0,3158.0,3158.0,3158.0
SC18969_EV1896901955,18969,EV1896901955,2,0,low,0,0,0,Shot_Blocked,Shot_Wrist,,,,4.0,1.0,33.0,323.0,1636.0,1128.0,33.0,33.0,1705.0,,,,,,1296.0,,,,,,1705.0,1705.0,1705.0,1296.0,1296.0,1296.0
SC18969_EV1896901958,18969,EV1896901958,2,0,low,0,0,0,Shot_Missed,Shot_OneTime,,,,0.0,2.0,26.0,316.0,1643.0,1135.0,26.0,40.0,737.0,,,,,,,,,,,,737.0,737.0,737.0,,,
SC18969_EV1896901971,18969,EV1896901971,2,0,medium,0,0,0,Shot_OnNetSaved,Shot_Wrist,,,,0.0,0.0,3.0,293.0,1666.0,1158.0,3.0,63.0,1754.0,,,,,,3158.0,1296.0,,,,,1754.0,1754.0,1754.0,2227.0,1296.0,3158.0
SC18969_EV1896901975,18969,EV1896901975,2,0,medium,0,0,0,Shot_Goal,,,,,0.0,0.0,662.0,290.0,1669.0,1161.0,99.0,66.0,995.0,,,,,,3158.0,1647.0,,,,,995.0,995.0,995.0,2402.5,1647.0,3158.0
SC18969_EV1896901976,18969,EV1896901976,2,1,medium,0,0,0,Goal_Scored,Goal_Wrist,,,,0.0,2.0,662.0,290.0,1669.0,1161.0,99.0,66.0,995.0,,,,,,3158.0,1647.0,,,,,995.0,995.0,995.0,2402.5,1647.0,3158.0
SC18969_EV1896902031,18969,EV1896902031,2,0,low,0,0,0,Shot_Blocked,Shot_Slap,,,,2.0,0.0,136.0,508.0,1315.0,154.0,15.0,55.0,923.0,,,,,,1243.0,,,,,,923.0,923.0,923.0,1243.0,1243.0,1243.0
SC18969_EV1896902067,18969,EV1896902067,3,0,medium,0,0,0,Shot_Goal,,,,,28.0,0.0,-1.0,372.0,1451.0,290.0,47.0,97.0,968.0,,,,,,3240.0,,,,,,968.0,968.0,968.0,3240.0,3240.0,3240.0
SC18969_EV1896902068,18969,EV1896902068,3,1,medium,0,0,0,Goal_Scored,Goal_Tip,,,,0.0,0.0,-1.0,372.0,1451.0,290.0,47.0,97.0,968.0,,,,,,3240.0,,,,,,968.0,968.0,968.0,3240.0,3240.0,3240.0
SC18969_EV1896902074,18969,EV1896902074,3,0,low,0,0,0,Shot_Blocked,Shot_Wrist,,,,0.0,1.0,341.0,-1.0,321.0,31.0,16.0,31.0,1705.0,,,,,,1296.0,,,,,,1705.0,1705.0,1705.0,1296.0,1296.0,1296.0
SC18969_EV1896902085,18969,EV1896902085,3,0,low,0,0,0,Shot_Blocked,Shot_Wrist,,,,1.0,1.0,326.0,-1.0,336.0,46.0,1.0,46.0,1754.0,,,,,,1296.0,968.0,,,,,1754.0,1754.0,1754.0,1132.0,968.0,1296.0
SC18969_EV1896902090,18969,EV1896902090,3,0,medium,0,0,0,Shot_OnNetSaved,Shot_Wrist,,,,0.0,2.0,299.0,-1.0,363.0,73.0,2.0,26.0,1680.0,,,,,,3158.0,1024.0,,,,,1680.0,1680.0,1680.0,2091.0,1024.0,3158.0
SC18969_EV1896902102,18969,EV1896902102,3,0,medium,0,0,0,Shot_OnNetSaved,Shot_Wrist,,,,0.0,3.0,-1.0,273.0,99.0,389.0,114.0,24.0,1730.0,,,,,,3240.0,,,,,,1730.0,1730.0,1730.0,3240.0,3240.0,3240.0
SC18969_EV1896902110,18969,EV1896902110,3,0,medium,0,0,0,Shot_OnNetSaved,Shot_Wrist,,,,0.0,3.0,-1.0,261.0,111.0,401.0,102.0,36.0,1647.0,,,,,,3240.0,,,,,,1647.0,1647.0,1647.0,3240.0,3240.0,3240.0
SC18969_EV1896902117,18969,EV1896902117,3,0,low,0,0,0,Shot_Missed,Shot_Wrist,,,,4.0,1.0,-1.0,254.0,118.0,408.0,95.0,43.0,1730.0,,,,,,1680.0,,,,,,1730.0,1730.0,1730.0,1680.0,1680.0,1680.0
SC18969_EV1896902137,18969,EV1896902137,3,0,medium,0,0,0,Shot_OnNetSaved,Shot_Wrist,,,,1.0,0.0,-1.0,210.0,162.0,452.0,51.0,87.0,1592.0,,,,,,3240.0,,,,,,1592.0,1592.0,1592.0,3240.0,3240.0,3240.0
SC18969_EV1896902157,18969,EV1896902157,3,0,low,0,0,0,Shot_Missed,Shot_Wrist,,,,2.0,1.0,-1.0,189.0,183.0,473.0,30.0,108.0,1357.0,,,,,,1680.0,,,,,,1357.0,1357.0,1357.0,1680.0,1680.0,1680.0
SC18969_EV1896902174,18969,EV1896902174,3,0,medium,0,0,0,Shot_OnNetSaved,Shot_OneTime,,,,0.0,2.0,160.0,-1.0,502.0,212.0,1.0,137.0,1566.0,,,,,,3158.0,,,,,,1566.0,1566.0,1566.0,3158.0,3158.0,3158.0
SC18969_EV1896902203,18969,EV1896902203,3,0,low,0,0,0,Shot_Missed,Shot_Wrist,,,,3.0,2.0,-1.0,104.0,268.0,558.0,11.0,55.0,1592.0,,,,,,1754.0,,,,,,1592.0,1592.0,1592.0,1754.0,1754.0,1754.0
SC18969_EV1896902210,18969,EV1896902210,3,0,medium,0,0,0,Shot_OnNetSaved,Shot_Wrist,,,,0.0,3.0,-1.0,94.0,278.0,568.0,1.0,65.0,1647.0,,,,,,3240.0,,,,,,1647.0,1647.0,1647.0,3240.0,3240.0,3240.0
