play_key,play_id,game_id,season_id,period,period_id,sequence_key,first_event_key,last_event_key,event_count,start_min,start_sec,duration_seconds,video_time_start,video_time_end,time_bucket_id,strength_id,home_team,home_team_id,away_team,away_team_id,start_zone,end_zone,start_zone_id,end_zone_id,event_types,has_goal,goal_count,has_shot,shot_count,zone_entry_count,zone_exit_count,pass_count,pass_success_count,turnover_count,giveaway_count,takeaway_count,unique_player_count,player_ids
PL1896912508,PL1896912508,18969,N20252026F,3,P03,SQ1896900125,EV1896902542,EV1896902543,2,1.0,41.0,0.0,3275.0,3275.0,TB05,STR0001,Platinum,N10008,Velodrome,N10010,d,d,ZN02,ZN02,"Pass,Zone_Entry_Exit",False,0,False,0,0,1,1,1,0,0,0,2,"P100001,P100093"
PL1896912509,PL1896912509,18969,N20252026F,3,P03,SQ1896900125,EV1896902546,EV1896902548,3,1.0,35.0,0.0,3281.0,3281.0,TB05,STR0001,Platinum,N10008,Velodrome,N10010,o,d,ZN01,ZN02,"Shot,Save,Rebound",False,0,True,1,0,0,0,0,0,0,0,3,"P100001,P100030,P100202"
PL1896905712,PL1896905712,18969,N20252026F,3,P03,SQ1896900057,EV1896902549,EV1896902556,4,1.0,30.0,72.0,3286.0,1566.0,TB05,STR0001,Platinum,N10008,Velodrome,N10010,o,,ZN01,,"Possession,Pass,Possession,Timeout",False,0,False,0,0,0,1,1,0,0,0,4,"P100002,P100093,P100202,P100224"
PL1896912601,PL1896912601,18969,N20252026F,3,P03,SQ1896900126,EV1896902552,EV1896902555,4,1.0,26.0,2.0,3290.0,3294.0,TB05,STR0001,Platinum,N10008,Velodrome,N10010,o,d,ZN01,ZN02,"Shot,Save,Stoppage,DeadIce",False,0,True,1,0,0,0,0,0,0,0,2,"P100002,P100202"
PL1896905801,PL1896905801,18969,N20252026F,3,P03,SQ1896900058,EV1896902557,EV1896902567,11,1.0,22.0,8.0,3362.0,3378.0,TB05,STR0001,Platinum,N10008,Velodrome,N10010,o,o,ZN01,ZN01,"Faceoff,Pass,Possession,Play,Possession,Pass,Possession,Pass,Possession,Shot,Stoppage",False,0,True,1,0,0,3,3,0,0,0,4,"P100001,P100024,P100161,P100201"
PL1896905901,PL1896905901,18969,N20252026F,3,P03,SQ1896900059,EV1896902568,EV1896902568,1,1.0,6.0,16.0,3378.0,3394.0,TB05,STR0001,Platinum,N10008,Velodrome,N10010,o,o,ZN01,ZN01,DeadIce,False,0,False,0,0,0,0,0,0,0,0,1,P100001
PL1896906001,PL1896906001,18969,N20252026F,3,P03,SQ1896900060,EV1896902569,EV1896902574,6,0.0,50.0,5.0,3394.0,3401.0,TB05,STR0001,Platinum,N10008,Velodrome,N10010,o,o,ZN01,ZN01,"Faceoff,LoosePuck,Pass,Possession,Pass,Possession",False,0,False,0,0,0,2,1,0,0,0,4,"P100001,P100002,P100161,P100201"
PL1896912801,PL1896912801,18969,N20252026F,3,P03,SQ1896900128,EV1896902575,EV1896902578,4,0.0,41.0,10.0,3403.0,3413.0,TB05,STR0001,Platinum,N10008,Velodrome,N10010,o,d,ZN01,ZN02,"Shot,Save,Stoppage,DeadIce",False,0,True,1,0,0,0,0,0,0,0,3,"P100002,P100025,P100202"
PL1896906101,PL1896906101,18969,N20252026F,3,P03,SQ1896900061,EV1896902579,EV1896902584,4,0.0,31.0,4.0,3413.0,3425.0,TB05,STR0001,Platinum,N10008,Velodrome,N10010,d,d,ZN02,ZN02,"Faceoff,Possession,Possession,Zone_Entry_Exit",False,0,False,0,0,1,0,0,0,0,0,3,"P100022,P100117,P100201"
PL1896912902,PL1896912902,18969,N20252026F,3,P03,SQ1896900129,EV1896902580,EV1896902581,2,0.0,28.0,0.0,3416.0,3416.0,TB05,STR0001,Platinum,N10008,Velodrome,N10010,d,d,ZN02,ZN02,"Zone_Entry_Exit,Zone_Entry_Exit",False,0,False,0,1,1,0,0,0,0,0,1,P100022
PL1896912904,PL1896912904,18969,N20252026F,3,P03,SQ1896900129,EV1896902585,EV1896902587,3,0.0,19.0,0.0,3425.0,3425.0,TB05,STR0001,Platinum,N10008,Velodrome,N10010,n,n,ZN03,ZN03,"Pass,Zone_Entry_Exit,Turnover",False,0,False,0,1,0,1,0,1,1,0,2,"P100001,P100201"
PL1896906102,PL1896906102,18969,N20252026F,3,P03,SQ1896900061,EV1896902588,EV1896902592,5,0.0,12.0,12.0,3432.0,3444.0,TB05,STR0001,Platinum,N10008,Velodrome,N10010,d,,ZN02,,"Possession,LoosePuck,Pass,Possession,Stoppage",False,0,False,0,0,0,1,1,0,0,0,3,"P100030,P100117,P100201"
PL1897700101,PL1897700101,18977,N20252026F,1,P01,SQ1897700001,EV1897701000,EV1897701000,1,,,0.0,0.0,5.0,,,Velodrome,N10010,HollowBrook,N10003,,,,,GameStart,False,0,False,0,0,0,0,0,0,0,0,0,
PL1897700201,PL1897700201,18977,N20252026F,1,P01,SQ1897700002,EV1897701001,EV1897701006,6,18.0,0.0,2.0,0.0,13.0,TB01,STR0001,Velodrome,N10010,HollowBrook,N10003,n,,ZN03,,"Faceoff,Pass,Pass,Possession,Pass,Turnover",False,0,False,0,0,0,3,0,1,1,0,2,"P100084,P100086"
PL1897700202,PL1897700202,18977,N20252026F,1,P01,SQ1897700002,EV1897701007,EV1897701007,1,17.0,45.0,0.0,15.0,15.0,TB01,STR0001,Velodrome,N10010,HollowBrook,N10003,,,,,Stoppage,False,0,False,0,0,0,0,0,0,0,0,1,P100161
PL1897700301,PL1897700301,18977,N20252026F,1,P01,SQ1897700003,EV1897701008,EV1897701008,1,17.0,45.0,22.0,15.0,37.0,TB01,STR0001,Velodrome,N10010,HollowBrook,N10003,,,,,DeadIce,False,0,False,0,0,0,0,0,0,0,0,1,P100161
PL1897700401,PL1897700401,18977,N20252026F,1,P01,SQ1897700004,EV1897701009,EV1897701014,6,17.0,23.0,5.0,37.0,43.0,TB01,STR0001,Velodrome,N10010,HollowBrook,N10003,,,,,"Faceoff,Possession,Pass,Possession,Pass,Zone_Entry_Exit",False,0,False,0,1,0,2,0,0,0,0,2,"P100001,P100159"
PL1897700402,PL1897700402,18977,N20252026F,1,P01,SQ1897700004,EV1897701015,EV1897701015,1,17.0,14.0,0.0,46.0,46.0,TB01,STR0001,Velodrome,N10010,HollowBrook,N10003,,,,,Turnover,False,0,False,0,0,0,0,0,1,0,1,1,P100084
