shift_quality_key,game_id,player_id,shift_index,shift_duration,shift_quality,quality_score,period,strength,situation
SH1896900044,18969,P100039,44,27.0,short,70,2.0,,
SH1896900045,18969,P100039,45,12.0,short,70,2.0,,
SH1896900056,18969,P100039,56,13.0,short,70,2.0,,
SH1896900057,18969,P100039,57,78.0,long,70,2.0,,
SH1896900058,18969,P100039,58,11.0,short,70,2.0,,
SH1896900059,18969,P100039,59,32.0,optimal,100,2.0,,
SH1896900060,18969,P100039,60,52.0,good,90,2.0,,
SH1896900061,18969,P100039,61,11.0,short,70,2.0,,
SH1896900068,18969,P100039,68,16.0,short,70,3.0,,
SH1896900069,18969,P100039,69,17.0,short,70,3.0,,
SH1896900070,18969,P100039,70,11.0,short,70,3.0,,
SH1896900071,18969,P100039,71,7.0,short,70,3.0,,
SH1896900072,18969,P100039,72,63.0,long,70,3.0,,
SH1896900076,18969,P100039,76,32.0,optimal,100,3.0,,
SH1896900077,18969,P100039,77,61.0,long,70,3.0,,
SH1896900078,18969,P100039,78,42.0,optimal,100,3.0,,
SH1896900079,18969,P100039,79,9.0,short,70,3.0,,
SH1896900080,18969,P100039,80,11.0,short,70,3.0,,
SH1896900081,18969,P100039,81,50.0,good,90,3.0,,
SH1896900082,18969,P100039,82,2.0,short,70,3.0,,
SH1896900089,18969,P100039,89,27.0,short,70,3.0,,
SH1896900090,18969,P100039,90,42.0,optimal,100,3.0,,
SH1896900091,18969,P100039,91,69.0,long,70,3.0,,
SH1896900007,18969,P100064,7,102.0,exhausted,40,1.0,,
SH1896900008,18969,P100064,8,7.0,short,70,1.0,,
SH1896900009,18969,P100064,9,16.0,short,70,1.0,,
SH1896900010,18969,P100064,10,9.0,short,70,1.0,,
SH1896900011,18969,P100064,11,25.0,short,70,1.0,,
SH1896900022,18969,P100064,22,57.0,good,90,1.0,,
SH1896900023,18969,P100064,23,37.0,optimal,100,1.0,,
SH1896900024,18969,P100064,24,61.0,long,70,1.0,,
SH1896900031,18969,P100064,31,49.0,good,90,2.0,,
