event_index,event_key,shift_index,shift_key,linked_event_index,sequence_index,play_index,event_type,event_detail,event_detail_2,event_successful,period,event_start_min,event_start_sec,time_total_seconds,duration,event_team_zone,game_id,_processed_timestamp
1089.0,18969_1089.0,4.0,18969_4.0,9015.0,,,Pass,Pass_Missed,Pass-Rim/Wrap,u,1.0,14.0,54.0,894.0,0.0,o,18969,2025-12-19 20:06:37
1090.0,18969_1090.0,4.0,18969_4.0,9015.0,,,Turnover,Turnover_Giveaway,Giveaway-PassIntercepted,u,1.0,14.0,54.0,894.0,0.0,o,18969,2025-12-19 20:06:37
1091.0,18969_1091.0,4.0,18969_4.0,,,,Possession,PuckRetrieval,,s,1.0,14.0,49.0,889.0,2.0,d,18969,2025-12-19 20:06:37
1092.0,18969_1092.0,4.0,18969_4.0,,,,Possession,,,,1.0,14.0,47.0,887.0,2.0,d,18969,2025-12-19 20:06:37
1093.0,18969_1093.0,4.0,18969_4.0,9016.0,,,Pass,Pass_Completed,Pass-Forehand,s,1.0,14.0,45.0,885.0,0.0,d,18969,2025-12-19 20:06:37
1094.0,18969_1094.0,4.0,18969_4.0,9016.0,,,Zone_Entry_Exit,Zone_Exit,ZoneExit-Pass,s,1.0,14.0,45.0,885.0,0.0,d,18969,2025-12-19 20:06:37
1095.0,18969_1095.0,4.0,18969_4.0,,,,Possession,,,,1.0,14.0,45.0,885.0,3.0,n,18969,2025-12-19 20:06:37
1096.0,18969_1096.0,4.0,18969_4.0,,,,Zone_Entry_Exit,Zone_Entry,ZoneEntry-Rush,u,1.0,14.0,42.0,882.0,2.0,o,18969,2025-12-19 20:06:37
1097.0,18969_1097.0,5.0,18969_5.0,9017.0,,,Turnover,Turnover_Takeaway,Takeaway-BattleWon,s,1.0,14.0,40.0,880.0,0.0,d,18969,2025-12-19 20:06:37
1098.0,18969_1098.0,5.0,18969_5.0,9017.0,,,Zone_Entry_Exit,Zone_Exit,ZoneExit-CausedTurnover,s,1.0,14.0,40.0,880.0,0.0,d,18969,2025-12-19 20:06:37
1099.0,18969_1099.0,6.0,18969_6.0,,,,Possession,PuckRecovery,,u,1.0,14.0,36.0,876.0,2.0,n,18969,2025-12-19 20:06:37
1100.0,18969_1100.0,6.0,18969_6.0,,,,Turnover,Turnover_Takeaway,Takeaway-BattleWon,s,1.0,14.0,34.0,874.0,0.0,n,18969,2025-12-19 20:06:37
1101.0,18969_1101.0,6.0,18969_6.0,,,,Possession,PuckRecovery,,u,1.0,14.0,34.0,874.0,0.0,n,18969,2025-12-19 20:06:37
1102.0,18969_1102.0,6.0,18969_6.0,9018.0,,,Zone_Entry_Exit,Zone_Entryfailed,ZoneEntry-Rush,u,1.0,14.0,33.0,873.0,2.0,n,18969,2025-12-19 20:06:37
1103.0,18969_1103.0,6.0,18969_6.0,9018.0,,,Turnover,Turnover_Takeaway,Takeaway-PokeCheck,s,1.0,14.0,33.0,873.0,2.0,n,18969,2025-12-19 20:06:37
1104.0,18969_1104.0,6.0,18969_6.0,9019.0,,,Stoppage,Stoppage_Play,Stoppage-Icing,,1.0,14.0,31.0,871.0,0.0,n,18969,2025-12-19 20:06:37
1105.0,18969_1105.0,6.0,18969_6.0,9019.0,,,DeadIce,,,,1.0,14.0,31.0,871.0,23.0,n,18969,2025-12-19 20:06:37
1106.0,18969_1106.0,7.0,18969_7.0,,,,Faceoff,Faceoff_AfterStoppage,,,1.0,14.0,8.0,848.0,0.0,d,18969,2025-12-19 20:06:37
1107.0,18969_1107.0,7.0,18969_7.0,,,,Possession,PuckRecovery,,u,1.0,14.0,5.0,845.0,0.0,d,18969,2025-12-19 20:06:37
1108.0,18969_1108.0,7.0,18969_7.0,,,,Play,Play_Defensive,Play-AttemptedClear,u,1.0,14.0,5.0,845.0,0.0,d,18969,2025-12-19 20:06:37
1109.0,18969_1109.0,7.0,18969_7.0,,,,Possession,PuckRecovery,,u,1.0,13.0,59.0,839.0,0.0,d,18969,2025-12-19 20:06:37
1110.0,18969_1110.0,7.0,18969_7.0,,,,Play,Play_Defensive,Play-AttemptedClear,u,1.0,13.0,59.0,839.0,0.0,d,18969,2025-12-19 20:06:37
1111.0,18969_1111.0,7.0,18969_7.0,,,,Possession,PuckRecovery,,u,1.0,13.0,58.0,838.0,0.0,d,18969,2025-12-19 20:06:37
1112.0,18969_1112.0,7.0,18969_7.0,9020.0,,,Zone_Entry_Exit,Zone_ExitFailed,ZoneExit-Rush,u,1.0,13.0,58.0,838.0,0.0,d,18969,2025-12-19 20:06:37
1113.0,18969_1113.0,7.0,18969_7.0,9020.0,,,Zone_Entry_Exit,Zone_Keepin,Zone-KeepIn,s,1.0,13.0,58.0,838.0,0.0,o,18969,2025-12-19 20:06:37
1114.0,18969_1114.0,7.0,18969_7.0,9020.0,,,Turnover,Turnover_Takeaway,Takeaway-PokeCheck,s,1.0,13.0,58.0,838.0,0.0,o,18969,2025-12-19 20:06:37
1115.0,18969_1115.0,7.0,18969_7.0,,,,Possession,,,,1.0,13.0,56.0,836.0,0.0,o,18969,2025-12-19 20:06:37
1116.0,18969_1116.0,7.0,18969_7.0,,,,Pass,Pass_Completed,Pass-Forehand,s,1.0,13.0,56.0,836.0,0.0,o,18969,2025-12-19 20:06:37
1117.0,18969_1117.0,7.0,18969_7.0,,,,Turnover,Turnover_Takeaway,Takeaway-PokeCheck,s,1.0,13.0,55.0,835.0,0.0,d,18969,2025-12-19 20:06:37
1118.0,18969_1118.0,7.0,18969_7.0,,,,Possession,PuckRetrieval,,u,1.0,13.0,51.0,831.0,0.0,d,18969,2025-12-19 20:06:37
1119.0,18969_1119.0,7.0,18969_7.0,,,,Turnover,Turnover_Giveaway,Giveaway-AttemptedZoneClear/Dump,u,1.0,13.0,51.0,831.0,0.0,d,18969,2025-12-19 20:06:37
1120.0,18969_1120.0,7.0,18969_7.0,9021.0,,,Zone_Entry_Exit,Zone_Keepin,Zone-KeepIn,s,1.0,13.0,50.0,830.0,0.0,o,18969,2025-12-19 20:06:37
1121.0,18969_1121.0,7.0,18969_7.0,9021.0,,,Possession,,,,1.0,13.0,50.0,830.0,3.0,o,18969,2025-12-19 20:06:37
1122.0,18969_1122.0,7.0,18969_7.0,,,,Turnover,Turnover_Giveaway,Giveaway-Misplayed,u,1.0,13.0,47.0,827.0,0.0,o,18969,2025-12-19 20:06:37
1123.0,18969_1123.0,7.0,18969_7.0,,,,Possession,PuckRetrieval,,u,1.0,13.0,46.0,826.0,0.0,d,18969,2025-12-19 20:06:37
1124.0,18969_1124.0,7.0,18969_7.0,,,,Pass,Pass_Completed,Pass-Rim/Wrap,s,1.0,13.0,46.0,826.0,0.0,d,18969,2025-12-19 20:06:37
1125.0,18969_1125.0,7.0,18969_7.0,,,,Turnover,Turnover_Giveaway,Giveaway-Misplayed,u,1.0,13.0,39.0,819.0,0.0,d,18969,2025-12-19 20:06:37
1126.0,18969_1126.0,7.0,18969_7.0,,,,Possession,,,,1.0,13.0,39.0,819.0,6.0,o,18969,2025-12-19 20:06:37
1127.0,18969_1127.0,7.0,18969_7.0,,,,Pass,Pass_Completed,Pass-Backhand,s,1.0,13.0,33.0,813.0,0.0,o,18969,2025-12-19 20:06:37
1128.0,18969_1128.0,7.0,18969_7.0,9022.0,,,Shot,Shot_OnNetSaved,Shot-Tip,s,1.0,13.0,33.0,813.0,0.0,o,18969,2025-12-19 20:06:37
1129.0,18969_1129.0,7.0,18969_7.0,9022.0,,,Save,Save_Rebound,Save-LeftPad,,1.0,13.0,33.0,813.0,0.0,d,18969,2025-12-19 20:06:37
1130.0,18969_1130.0,7.0,18969_7.0,9022.0,,,Rebound,Rebound_OppTeamRecovered,,,1.0,13.0,33.0,813.0,0.0,d,18969,2025-12-19 20:06:37
1131.0,18969_1131.0,7.0,18969_7.0,,,,Turnover,,,,1.0,13.0,33.0,813.0,0.0,d,18969,2025-12-19 20:06:37
1132.0,18969_1132.0,7.0,18969_7.0,9023.0,,,Zone_Entry_Exit,,,s,1.0,13.0,32.0,812.0,0.0,o,18969,2025-12-19 20:06:37
1133.0,18969_1133.0,7.0,18969_7.0,9023.0,,,Possession,,,,1.0,13.0,32.0,812.0,4.0,o,18969,2025-12-19 20:06:37
1134.0,18969_1134.0,7.0,18969_7.0,9024.0,,,Shot,Shot_OnNetSaved,Shot-Wrist,s,1.0,13.0,28.0,808.0,0.0,o,18969,2025-12-19 20:06:37
1135.0,18969_1135.0,7.0,18969_7.0,9024.0,,,Save,Save_Rebound,Save-Butterfly,,1.0,13.0,28.0,808.0,0.0,d,18969,2025-12-19 20:06:37
1136.0,18969_1136.0,7.0,18969_7.0,9024.0,,,Rebound,Rebound_OppTeamRecovered,,,1.0,13.0,28.0,808.0,0.0,d,18969,2025-12-19 20:06:37
1137.0,18969_1137.0,7.0,18969_7.0,,,,Possession,PuckRecovery,,s,1.0,13.0,24.0,804.0,5.0,o,18969,2025-12-19 20:06:37
1138.0,18969_1138.0,7.0,18969_7.0,,,,Pass,Pass_Missed,Pass-Backhand,u,1.0,13.0,19.0,799.0,0.0,o,18969,2025-12-19 20:06:37
1139.0,18969_1139.0,7.0,18969_7.0,,,,Possession,PuckRetrieval,,u,1.0,13.0,18.0,798.0,2.0,d,18969,2025-12-19 20:06:37
1140.0,18969_1140.0,7.0,18969_7.0,,,,Turnover,Turnover_Takeaway,Takeaway-PokeCheck,s,1.0,13.0,16.0,796.0,0.0,o,18969,2025-12-19 20:06:37
1141.0,18969_1141.0,7.0,18969_7.0,,,,Possession,,,,1.0,13.0,16.0,796.0,3.0,o,18969,2025-12-19 20:06:37
1142.0,18969_1142.0,7.0,18969_7.0,,,,Pass,Pass_Missed,Pass-ReceiverMissed,u,1.0,13.0,13.0,793.0,0.0,o,18969,2025-12-19 20:06:37
1143.0,18969_1143.0,7.0,18969_7.0,,,,Possession,PuckRetrieval,,u,1.0,13.0,9.0,789.0,1.0,d,18969,2025-12-19 20:06:37
