game_id,home_team,away_team,home_team_id,away_team_id,game_date,season_id,game_type,playoff_round,home_score,away_score,winner,_processed_timestamp
16894,HollowBrook,Ace,N10003,N10002,2024-04-21T00:00:00,N20232024F,Regular,,10,4,HollowBrook,2025-12-19 20:06:37
16893,Platinum,Nelson,N10008,N10004,2024-04-21T00:00:00,N20232024F,Regular,,8,2,Platinum,2025-12-19 20:06:37
16892,Amos,Orphans,N10001,N10006,2024-04-21T00:00:00,N20232024F,Regular,,3,2,Amos,2025-12-19 20:06:37
16890,Platinum,Amos,N10008,N10001,2024-04-21T00:00:00,N20232024F,Regular,,3,7,Amos,2025-12-19 20:06:37
16895,Triple J,OS Offices,N10009,N10005,2024-04-21T00:00:00,N20232024F,Regular,,3,5,OS Offices,2025-12-19 20:06:37
16891,OS Offices,Ace,N10005,N10002,2024-04-14T00:00:00,N20232024F,Regular,,7,4,OS Offices,2025-12-19 20:06:37
16888,Triple J,HollowBrook,N10009,N10003,2024-04-14T00:00:00,N20232024F,Regular,,4,5,HollowBrook,2025-12-19 20:06:37
16889,Nelson,Orphans,N10004,N10006,2024-04-14T00:00:00,N20232024F,Regular,,5,8,Orphans,2025-12-19 20:06:37
16887,Orphans,OS Offices,N10006,N10005,2024-04-07T00:00:00,N20232024F,Regular,,2,5,OS Offices,2025-12-19 20:06:37
16886,HollowBrook,Platinum,N10003,N10008,2024-04-07T00:00:00,N20232024F,Regular,,4,6,Platinum,2025-12-19 20:06:37
16885,Nelson,Ace,N10004,N10002,2024-04-07T00:00:00,N20232024F,Regular,,3,0,Nelson,2025-12-19 20:06:37
16884,Triple J,Amos,N10009,N10001,2024-04-07T00:00:00,N20232024F,Regular,,6,2,Triple J,2025-12-19 20:06:37
16874,Ace,OS Offices,N10002,N10005,2024-03-31T00:00:00,N20232024F,Regular,,8,4,Ace,2025-12-19 20:06:37
16883,Orphans,Triple J,N10006,N10009,2024-03-24T00:00:00,N20232024F,Regular,,0,1,Triple J,2025-12-19 20:06:37
16881,Nelson,HollowBrook,N10004,N10003,2024-03-24T00:00:00,N20232024F,Regular,,6,7,HollowBrook,2025-12-19 20:06:37
16873,Platinum,Amos,N10008,N10001,2024-03-24T00:00:00,N20232024F,Regular,,5,5,TIE,2025-12-19 20:06:37
16880,Amos,Ace,N10001,N10002,2024-03-17T00:00:00,N20232024F,Regular,,4,8,Ace,2025-12-19 20:06:37
16872,Nelson,Orphans,N10004,N10006,2024-03-17T00:00:00,N20232024F,Regular,,2,5,Orphans,2025-12-19 20:06:37
16871,Amos,Orphans,N10001,N10006,2024-03-10T00:00:00,N20232024F,Regular,,3,5,Orphans,2025-12-19 20:06:37
16875,Triple J,HollowBrook,N10009,N10003,2024-03-10T00:00:00,N20232024F,Regular,,3,4,HollowBrook,2025-12-19 20:06:37
16868,Platinum,Nelson,N10008,N10004,2024-03-03T00:00:00,N20232024F,Regular,,5,3,Platinum,2025-12-19 20:06:37
16870,Triple J,OS Offices,N10009,N10005,2024-03-03T00:00:00,N20232024F,Regular,,4,2,Triple J,2025-12-19 20:06:37
16869,Ace,HollowBrook,N10002,N10003,2024-03-03T00:00:00,N20232024F,Regular,,3,5,HollowBrook,2025-12-19 20:06:37
16867,HollowBrook,Amos,N10003,N10001,2024-02-25T00:00:00,N20232024F,Regular,,5,3,HollowBrook,2025-12-19 20:06:37
16866,Nelson,OS Offices,N10004,N10005,2024-02-25T00:00:00,N20232024F,Regular,,3,10,OS Offices,2025-12-19 20:06:37
16865,Triple J,Platinum,N10009,N10008,2024-02-25T00:00:00,N20232024F,Regular,,4,4,TIE,2025-12-19 20:06:37
16864,Ace,Orphans,N10002,N10006,2024-02-25T00:00:00,N20232024F,Regular,,2,6,Orphans,2025-12-19 20:06:37
16882,OS Offices,Platinum,N10005,N10008,2024-02-24T00:00:00,N20232024F,Regular,,3,4,Platinum,2025-12-19 20:06:37
16863,HollowBrook,Platinum,N10003,N10008,2024-02-18T00:00:00,N20232024F,Regular,,4,0,HollowBrook,2025-12-19 20:06:37
16862,Ace,Nelson,N10002,N10004,2024-02-11T00:00:00,N20232024F,Regular,,10,7,Ace,2025-12-19 20:06:37
16858,Nelson,HollowBrook,N10004,N10003,2024-02-11T00:00:00,N20232024F,Regular,,0,4,HollowBrook,2025-12-19 20:06:37
16860,Orphans,OS Offices,N10006,N10005,2024-02-04T00:00:00,N20232024F,Regular,,0,3,OS Offices,2025-12-19 20:06:37
16857,Ace,Amos,N10002,N10001,2024-02-04T00:00:00,N20232024F,Regular,,3,7,Amos,2025-12-19 20:06:37
16861,Triple J,Amos,N10009,N10001,2024-02-04T00:00:00,N20232024F,Regular,,0,5,Amos,2025-12-19 20:06:37
16859,OS Offices,Platinum,N10005,N10008,2024-01-28T00:00:00,N20232024F,Regular,,6,2,OS Offices,2025-12-19 20:06:37
16856,Orphans,Triple J,N10006,N10009,2024-01-28T00:00:00,N20232024F,Regular,,6,2,Orphans,2025-12-19 20:06:37
16855,Amos,Nelson,N10001,N10004,2024-01-21T00:00:00,N20232024F,Regular,,6,2,Amos,2025-12-19 20:06:37
16854,Platinum,Orphans,N10008,N10006,2024-01-21T00:00:00,N20232024F,Regular,,4,6,Orphans,2025-12-19 20:06:37
16853,OS Offices,HollowBrook,N10005,N10003,2024-01-21T00:00:00,N20232024F,Regular,,5,4,OS Offices,2025-12-19 20:06:37
16852,Triple J,Ace,N10009,N10002,2024-01-21T00:00:00,N20232024F,Regular,,7,7,TIE,2025-12-19 20:06:37
16847,OS Offices,Nelson,N10005,N10004,2024-01-07T00:00:00,N20232024F,Regular,,3,2,OS Offices,2025-12-19 20:06:37
16851,Platinum,Ace,N10008,N10002,2024-01-07T00:00:00,N20232024F,Regular,,7,7,TIE,2025-12-19 20:06:37
16850,Nelson,Triple J,N10004,N10009,2024-01-07T00:00:00,N20232024F,Regular,,0,5,Triple J,2025-12-19 20:06:37
16849,Amos,OS Offices,N10001,N10005,2024-01-07T00:00:00,N20232024F,Regular,,5,3,Amos,2025-12-19 20:06:37
10034,Orphans,HollowBrook,N10006,N10003,2024-01-07T00:00:00,N20232024F,Regular,,8,3,Orphans,2025-12-19 20:06:37
16846,HollowBrook,Amos,N10003,N10001,2023-12-31T00:00:00,N20232024F,Regular,,1,7,Amos,2025-12-19 20:06:37
16830,Ace,Triple J,N10002,N10009,2023-12-31T00:00:00,N20232024F,Regular,,2,5,Triple J,2025-12-19 20:06:37
16845,Orphans,Ace,N10006,N10002,2023-12-24T00:00:00,N20232024F,Regular,,6,3,Orphans,2025-12-19 20:06:37
16842,Amos,OS Offices,N10001,N10005,2023-12-24T00:00:00,N20232024F,Regular,,3,9,OS Offices,2025-12-19 20:06:37
16829,OS Offices,HollowBrook,N10005,N10003,2023-12-24T00:00:00,N20232024F,Regular,,5,5,TIE,2025-12-19 20:06:37
16841,Orphans,HollowBrook,N10006,N10003,2023-12-17T00:00:00,N20232024F,Regular,,9,5,Orphans,2025-12-19 20:06:37
16844,Triple J,Platinum,N10009,N10008,2023-12-17T00:00:00,N20232024F,Regular,,2,8,Platinum,2025-12-19 20:06:37
16828,Amos,Nelson,N10001,N10004,2023-12-17T00:00:00,N20232024F,Regular,,7,0,Amos,2025-12-19 20:06:37
16840,Platinum,Ace,N10008,N10002,2023-12-10T00:00:00,N20232024F,Regular,,7,6,Platinum,2025-12-19 20:06:37
16843,Nelson,Triple J,N10004,N10009,2023-12-10T00:00:00,N20232024F,Regular,,3,5,Triple J,2025-12-19 20:06:37
16827,Platinum,Amos,N10008,N10001,2023-12-10T00:00:00,N20232024F,Regular,,5,2,Platinum,2025-12-19 20:06:37
16826,Nelson,Orphans,N10004,N10006,2023-12-03T00:00:00,N20232024F,Regular,,5,6,Orphans,2025-12-19 20:06:37
16839,Nelson,Ace,N10004,N10002,2023-12-03T00:00:00,N20232024F,Regular,,3,6,Ace,2025-12-19 20:06:37
16838,Amos,Triple J,N10001,N10009,2023-12-03T00:00:00,N20232024F,Regular,,2,4,Triple J,2025-12-19 20:06:37
16837,Orphans,OS Offices,N10006,N10005,2023-12-03T00:00:00,N20232024F,Regular,,6,3,Orphans,2025-12-19 20:06:37
16836,HollowBrook,Platinum,N10003,N10008,2023-12-03T00:00:00,N20232024F,Regular,,3,5,Platinum,2025-12-19 20:06:37
16824,Ace,OS Offices,N10002,N10005,2023-11-26T00:00:00,N20232024F,Regular,,3,5,OS Offices,2025-12-19 20:06:37
16834,Amos,Ace,N10001,N10002,2023-11-26T00:00:00,N20232024F,Regular,,8,3,Amos,2025-12-19 20:06:37
16823,Ace,HollowBrook,N10002,N10003,2023-11-19T00:00:00,N20232024F,Regular,,5,6,HollowBrook,2025-12-19 20:06:37
16833,Orphans,Triple J,N10006,N10009,2023-11-19T00:00:00,N20232024F,Regular,,3,3,TIE,2025-12-19 20:06:37
