box_id,box_id_rev,x_min,x_max,y_min,y_max,y_description,x_description,danger,slot,zone,side,dotside,depth
DZ54,OZ54,-61.5,-69.0,22.5,30.0,dot to half way to dot,dot to half way to dot,low,outside wide,offensive,left,outside dots,below top of circle
DZ55,OZ55,-61.5,-69.0,30.0,37.5,half way to dot to hash,dot to half way to dot,low,outside wide,offensive,left,outside dots,below top of circle
DZ56,OZ56,-61.5,-69.0,37.5,42.5,hash to boards,dot to half way to dot,low,outside wide,offensive,left,outside dots,below top of circle
DZ57,OZ57,-54.0,-61.5,-42.5,-37.5,boards to hash,half way to dot to top of circle,low,outside wide,offensive,right,outside dots,below top of circle
DZ58,OZ58,-54.0,-61.5,-37.5,-30.0,hash to half way to dot,half way to dot to top of circle,low,outside wide,offensive,right,outside dots,below top of circle
DZ59,OZ59,-54.0,-61.5,-30.0,-22.5,half way to dot to dot,half way to dot to top of circle,low,outside wide,offensive,right,outside dots,below top of circle
DZ60,OZ60,-54.0,-61.5,-22.5,-15.0,dot to half way to dot,half way to dot to top of circle,mid,outer slot,offensive,right,inside dots,below top of circle
DZ61,OZ61,-54.0,-61.5,-15.0,-7.5,half way to dot to hash,half way to dot to top of circle,mid,outer slot,offensive,right,inside dots,below top of circle
DZ62,OZ62,-54.0,-61.5,-7.5,-5.5,hash to post,half way to dot to top of circle,mid,high inner slot,offensive,center,inside hash marks,below top of circle
DZ63,OZ63,-54.0,-61.5,-5.5,5.5,post to post,half way to dot to top of circle,mid,high inner slot,offensive,center,inside hash marks,below top of circle
DZ64,OZ64,-54.0,-61.5,5.5,7.5,hash to post,half way to dot to top of circle,mid,high inner slot,offensive,center,inside dots,below top of circle
DZ65,OZ65,-54.0,-61.5,7.5,15.0,hash to half way to dot,half way to dot to top of circle,mid,outer slot,offensive,left,inside dots,below top of circle
DZ66,OZ66,-54.0,-61.5,15.0,22.5,half way to dot to dot,half way to dot to top of circle,mid,outer slot,offensive,left,outside dots,below top of circle
DZ67,OZ67,-54.0,-61.5,22.5,30.0,dot to half way to dot,half way to dot to top of circle,low,outside wide,offensive,left,outside dots,below top of circle
DZ68,OZ68,-54.0,-61.5,30.0,37.5,half way to dot to hash,half way to dot to top of circle,low,outside wide,offensive,left,outside dots,below top of circle
DZ69,OZ69,-54.0,-61.5,37.5,42.5,hash to boards,half way to dot to top of circle,low,outside wide,offensive,left,outside dots,below top of circle
DZ70,OZ70,-38.5,-54.0,-42.5,-37.5,boards to hash,top of circle to half way to blue,low,outside point,offensive,right,outside dots,above top of circle
DZ71,OZ71,-38.5,-54.0,-37.5,-30.0,hash to half way to dot,top of circle to half way to blue,low,outside point,offensive,right,outside dots,above top of circle
DZ72,OZ72,-38.5,-54.0,-30.0,-22.5,half way to dot to dot,top of circle to half way to blue,low,outside point,offensive,right,outside dots,above top of circle
DZ73,OZ73,-38.5,-54.0,-22.5,-15.0,dot to half way to dot,top of circle to half way to blue,low,center point,offensive,right,inside dots,above top of circle
DZ74,OZ74,-38.5,-54.0,-15.0,-7.5,half way to dot to hash,top of circle to half way to blue,low,center point,offensive,right,inside dots,above top of circle
DZ75,OZ75,-38.5,-54.0,-7.5,-5.5,hash to post,top of circle to half way to blue,mid,center point,offensive,center,inside hash marks,above top of circle
DZ76,OZ76,-38.5,-54.0,-5.5,5.5,post to post,top of circle to half way to blue,mid,center point,offensive,center,inside hash marks,above top of circle
DZ77,OZ77,-38.5,-54.0,5.5,7.5,hash to post,top of circle to half way to blue,mid,center point,offensive,center,inside dots,above top of circle
DZ78,OZ78,-38.5,-54.0,7.5,15.0,hash to half way to dot,top of circle to half way to blue,low,center point,offensive,left,inside dots,above top of circle
DZ79,OZ79,-38.5,-54.0,15.0,22.5,half way to dot to dot,top of circle to half way to blue,low,center point,offensive,left,outside dots,above top of circle
DZ80,OZ80,-38.5,-54.0,22.5,30.0,dot to half way to dot,top of circle to half way to blue,low,outside point,offensive,left,outside dots,above top of circle
DZ81,OZ81,-38.5,-54.0,30.0,37.5,half way to dot to hash,top of circle to half way to blue,low,outside point,offensive,left,outside dots,above top of circle
DZ82,OZ82,-38.5,-54.0,37.5,42.5,hash to boards,top of circle to half way to blue,low,outside point,offensive,left,outside dots,above top of circle
DZ83,OZ83,-22.5,-38.5,-42.5,-37.5,boards to hash,half way to blue to blue,low,outside point,offensive,right,outside dots,above top of circle
DZ84,OZ84,-22.5,-38.5,-37.5,-30.0,hash to half way to dot,half way to blue to blue,low,outside point,offensive,right,outside dots,above top of circle
DZ85,OZ85,-22.5,-38.5,-30.0,-22.5,half way to dot to dot,half way to blue to blue,low,outside point,offensive,right,outside dots,above top of circle
DZ86,OZ86,-22.5,-38.5,-22.5,-15.0,dot to half way to dot,half way to blue to blue,low,center point,offensive,right,inside dots,above top of circle
DZ87,OZ87,-22.5,-38.5,-15.0,-7.5,half way to dot to hash,half way to blue to blue,low,center point,offensive,right,inside dots,above top of circle
DZ88,OZ88,-22.5,-38.5,-7.5,-5.5,hash to post,half way to blue to blue,low,center point,offensive,center,inside hash marks,above top of circle
DZ89,OZ89,-22.5,-38.5,-5.5,5.5,post to post,half way to blue to blue,low,center point,offensive,center,inside hash marks,above top of circle
DZ90,OZ90,-22.5,-38.5,5.5,7.5,hash to post,half way to blue to blue,low,center point,offensive,center,inside dots,above top of circle
DZ91,OZ91,-22.5,-38.5,7.5,15.0,hash to half way to dot,half way to blue to blue,low,center point,offensive,left,inside dots,above top of circle
DZ92,OZ92,-22.5,-38.5,15.0,22.5,half way to dot to dot,half way to blue to blue,low,center point,offensive,left,outside dots,above top of circle
DZ93,OZ93,-22.5,-38.5,22.5,30.0,dot to half way to dot,half way to blue to blue,low,outside point,offensive,left,outside dots,above top of circle
DZ94,OZ94,-22.5,-38.5,30.0,37.5,half way to dot to hash,half way to blue to blue,low,outside point,offensive,left,outside dots,above top of circle
DZ95,OZ95,-22.5,-38.5,37.5,42.5,hash to boards,half way to blue to blue,low,outside point,offensive,left,outside dots,above top of circle
DN01,ON01,0.0,-22.5,-42.5,-22.5,boards to dot,offensive neutral zone,low,neutral zone,offensive,right,outside dots,neutral zone
DN02,ON02,0.0,-22.5,-22.5,0.0,dot to center dot,offensive neutral zone,low,neutral zone,offensive,center,inside dots,neutral zone
