shot_event_key,event_id,game_id,period,event_type,event_detail,is_goal,shooter_player_id,shooter_name,shooter_team_id,shot_x,shot_y,shot_distance,shot_angle,friendly_screen_score,own_team_screen_score,total_screen_score,screen_count,is_screened,net_target_x,net_target_y,net_location_id,_export_timestamp
SHE1896902565,EV1896902565,18969,3,Shot,Shot_Blocked,False,P100001,Sam Downs,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.715618
SHE1896902551,EV1896902551,18969,3,Shot,Shot_OnNetSaved,False,P100002,Kevin White,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.718339
SHE1896902545,EV1896902545,18969,3,Shot,Shot_OnNetSaved,False,P100001,Sam Downs,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.720801
SHE1896902514,EV1896902514,18969,3,Shot,Shot_OnNetSaved,False,P100001,Sam Downs,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.723221
SHE1896902505,EV1896902505,18969,3,Shot,Shot_Blocked,False,P100039,Nicole Downs,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.725484
SHE1896902494,EV1896902494,18969,3,Shot,Shot_Goal,False,P100023,Alex Considine,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.727831
SHE1896902495,EV1896902495,18969,3,Goal,Goal_Scored,True,P100023,Alex Considine,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.730152
SHE1896902490,EV1896902490,18969,3,Shot,Shot_OnNetSaved,False,P100023,Alex Considine,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.732497
SHE1896902485,EV1896902485,18969,3,Shot,Shot_Missed,False,P100022,Chris Dube,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.734774
SHE1896902475,EV1896902475,18969,3,Shot,Shot_OnNetSaved,False,P100001,Sam Downs,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.737176
SHE1896902468,EV1896902468,18969,3,Shot,Shot_Blocked,False,P100022,Chris Dube,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.739614
SHE1896902463,EV1896902463,18969,3,Shot,Shot_OnNetSaved,False,P100022,Chris Dube,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.742044
SHE1896902458,EV1896902458,18969,3,Shot,Shot_OnNetSaved,False,P100024,John Thien,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.744291
SHE1896902456,EV1896902456,18969,3,Shot,Shot_Blocked,False,P100023,Alex Considine,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.746599
SHE1896902443,EV1896902443,18969,3,Shot,Shot_Blocked,False,P100023,Alex Considine,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.748971
SHE1896902426,EV1896902426,18969,3,Shot,Shot_Missed,False,P100192,Chris Premo,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.751289
SHE1896902414,EV1896902414,18969,3,Shot,Shot_OnNetSaved,False,P100027,Karen Zietlow,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.753757
SHE1896902410,EV1896902410,18969,3,Shot,Shot_Missed,False,P100030,Jesse Chambless,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.756122
SHE1896902399,EV1896902399,18969,3,Shot,Shot_OnNetSaved,False,P100222,Joshua Blumberg,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.758393
SHE1896902387,EV1896902387,18969,3,Shot,Shot_Blocked,False,P100108,Robert Mayfield,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.760693
SHE1896902379,EV1896902379,18969,3,Shot,Shot_OnNetSaved,False,P100108,Robert Mayfield,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.763003
