log_key,run_id,table_name,started_at,completed_at,status,rows_in_source,rows_loaded,rows_quarantined,rows_failed,duration_seconds,error_message,source_checksum
LOG000082,20251231_050719,fact_shift_players,2025-12-31T05:07:21.758345,2025-12-31T05:07:21.783433,success,0,5513,0,0,0.025088,,
LOG000083,20251231_050719,fact_shift_quality,2025-12-31T05:07:21.787690,2025-12-31T05:07:21.816969,success,0,4626,0,0,0.029279,,
LOG000084,20251231_050719,fact_shift_quality_logical,2025-12-31T05:07:21.821232,2025-12-31T05:07:21.825518,success,0,105,0,0,0.004286,,
LOG000085,20251231_050719,fact_shifts,2025-12-31T05:07:21.830022,2025-12-31T05:07:21.845458,success,0,672,0,0,0.015436,,
LOG000086,20251231_050719,fact_shifts_long,2025-12-31T05:07:21.849566,2025-12-31T05:07:21.901065,success,0,4336,0,0,0.051499,,
LOG000087,20251231_050719,fact_shifts_player,2025-12-31T05:07:21.905599,2025-12-31T05:07:21.968476,success,0,4626,0,0,0.062877,,
LOG000088,20251231_050719,fact_shifts_tracking,2025-12-31T05:07:21.973361,2025-12-31T05:07:21.985672,success,0,476,0,0,0.012311,,
LOG000089,20251231_050719,fact_shot_danger,2025-12-31T05:07:21.989983,2025-12-31T05:07:21.994705,success,0,435,0,0,0.004722,,
LOG000090,20251231_050719,fact_shot_xy,2025-12-31T05:07:21.999007,2025-12-31T05:07:22.002971,success,0,0,0,0,0.003964,,
LOG000091,20251231_050719,fact_suspicious_stats,2025-12-31T05:07:22.007131,2025-12-31T05:07:22.011320,success,0,17,0,0,0.004189,,
LOG000092,20251231_050719,fact_team_game_stats,2025-12-31T05:07:22.016606,2025-12-31T05:07:22.024072,success,0,8,0,0,0.007466,,
LOG000093,20251231_050719,fact_team_standings_snapshot,2025-12-31T05:07:22.028647,2025-12-31T05:07:22.037743,success,0,1124,0,0,0.009096,,
LOG000094,20251231_050719,fact_team_zone_time,2025-12-31T05:07:22.042018,2025-12-31T05:07:22.046080,success,0,8,0,0,0.004062,,
LOG000095,20251231_050719,fact_video,2025-12-31T05:07:22.050765,2025-12-31T05:07:22.054712,success,0,10,0,0,0.003947,,
LOG000096,20251231_050719,fact_video_highlights,2025-12-31T05:07:22.059744,2025-12-31T05:07:22.063775,success,0,0,0,0,0.004031,,
LOG000097,20251231_050719,fact_wowy,2025-12-31T05:07:22.068111,2025-12-31T05:07:22.077975,success,0,641,0,0,0.009864,,
