event_player_key,event_key,game_id,player_id,event_index,player_role,role_number,period,event_type,player_game_number,linked_event_index,tracking_event_index,event_start_min,event_start_sec,event_end_min,event_end_sec,role_abrev,event_team_zone,home_team_zone,away_team_zone,team_venue,team_venue_abv,side_of_puck,sequence_index,play_index,play_detail1,play_detail_2,play_detail_successful,pressured_pressurer,zone_change_index,home_team,away_team,Type,event_detail,event_detail_2,event_successful,shift_index,duration,time_start_total_seconds,time_end_total_seconds,running_intermission_duration,period_start_total_running_seconds,running_video_time,event_running_start,event_running_end,player_team,player_name,play_detail,period_id,venue_id,event_type_id,event_detail_id,event_detail_2_id,success_id,play_detail_success_id,zone_id,play_detail_id,play_detail_2_id,role_id,home_team_id,away_team_id,player_team_id,shift_key
EP1898107473,EV1898101727,18981,P100105,1727.0,event_team_player_1,1.0,2.0,Turnover,9.0,,1727.0,5.0,57.0,,,e,,,,Away,a,Offensive,,,,,,,316.0,Nelson,Velodrome,Turnover,Turnover_Giveaway,Giveaway-AttemptedZoneClear/Dump,,61.0,0.0,357.0,357.0,72.0,1152.0,1875.0,1870.0,1875.0,Velodrome,Ronnie Pinnell,,P0002,VN0002,ET0019,ED0048,E20004,,,,,,RL0001,N10004,N10010,N10010,SH1898100061
EP1898107474,EV1898101728,18981,P100197,1728.0,event_team_player_1,1.0,2.0,Zone_Entry_Exit,80.0,,1728.0,5.0,55.0,,,e,,,,Home,h,Offensive,,,,,,,316.0,Nelson,Velodrome,Zone_Entry_Exit,Zone_Keepin,Zone-KeepIn,,61.0,0.0,355.0,355.0,72.0,1152.0,1877.0,1872.0,1877.0,Nelson,Samuel Yetsko,,P0002,VN0001,ET0020,ED0058,E20075,,,,,,RL0001,N10004,N10010,N10004,SH1898100061
EP1898107475,EV1898101729,18981,P100197,1729.0,event_team_player_1,1.0,2.0,Possession,80.0,,1729.0,5.0,55.0,5.0,53.0,e,,,,Home,h,Offensive,,,,,,,316.0,Nelson,Velodrome,Possession,,,,61.0,2.0,355.0,353.0,72.0,1152.0,1877.0,1872.0,1879.0,Nelson,Samuel Yetsko,,P0002,VN0001,ET0013,,,,,,,,RL0001,N10004,N10010,N10004,SH1898100061
EP1898107476,EV1898101729,18981,P100093,1729.0,opp_team_player_1,1.0,2.0,Possession,93.0,,1729.0,5.0,55.0,5.0,53.0,o,,,,Home,h,Defensive,,,,,,,316.0,Nelson,Velodrome,Possession,,,,61.0,2.0,355.0,353.0,72.0,1152.0,1877.0,1872.0,1879.0,Velodrome,Pat Major,,P0002,VN0001,ET0013,,,,,,,,RL0008,N10004,N10010,N10010,SH1898100061
EP1898107477,EV1898101730,18981,P100197,1730.0,event_team_player_1,1.0,2.0,Pass,80.0,,1730.0,5.0,53.0,,,e,,,,Home,h,Offensive,,,,,,,316.0,Nelson,Velodrome,Pass,Pass_Deflected,Pass-Backhand,,61.0,0.0,353.0,353.0,72.0,1152.0,1879.0,1874.0,1879.0,Nelson,Samuel Yetsko,,P0002,VN0001,ET0009,ED0013,E20021,,,,,,RL0001,N10004,N10010,N10004,SH1898100061
EP1898107478,EV1898101730,18981,P100072,1730.0,event_team_player_2,2.0,2.0,Pass,7.0,,1730.0,5.0,53.0,,,e,,,,Home,h,Offensive,,,,,,,316.0,Nelson,Velodrome,Pass,Pass_Deflected,Pass-Backhand,,61.0,0.0,353.0,353.0,72.0,1152.0,1879.0,1874.0,1879.0,Nelson,Bobby Dickinson,,P0002,VN0001,ET0009,ED0013,E20021,,,,,,RL0002,N10004,N10010,N10004,SH1898100061
EP1898107479,EV1898101730,18981,P100105,1730.0,opp_team_player_1,1.0,2.0,Pass,9.0,,1730.0,5.0,53.0,,,o,,,,Home,h,Defensive,,,,,,,316.0,Nelson,Velodrome,Pass,Pass_Deflected,Pass-Backhand,,61.0,0.0,353.0,353.0,72.0,1152.0,1879.0,1874.0,1879.0,Velodrome,Ronnie Pinnell,,P0002,VN0001,ET0009,ED0013,E20021,,,,,,RL0008,N10004,N10010,N10010,SH1898100061
EP1898107480,EV1898101731,18981,P100079,1731.0,event_team_player_1,1.0,2.0,Zone_Entry_Exit,44.0,,1731.0,5.0,49.0,,,e,,,,Home,h,Offensive,,,,,,,316.0,Nelson,Velodrome,Zone_Entry_Exit,Zone_Keepin,Zone-KeepIn,,61.0,0.0,349.0,349.0,72.0,1152.0,1883.0,1878.0,1883.0,Nelson,Joe Lopez,,P0002,VN0001,ET0020,ED0058,E20075,,,,,,RL0001,N10004,N10010,N10004,SH1898100061
EP1898107481,EV1898101732,18981,P100079,1732.0,event_team_player_1,1.0,2.0,Possession,44.0,,1732.0,5.0,49.0,5.0,46.0,e,,,,Home,h,Offensive,,,,,,,316.0,Nelson,Velodrome,Possession,,,,61.0,3.0,349.0,346.0,72.0,1152.0,1883.0,1878.0,1886.0,Nelson,Joe Lopez,,P0002,VN0001,ET0013,,,,,,,,RL0001,N10004,N10010,N10004,SH1898100061
EP1898107482,EV1898101732,18981,P100001,1732.0,opp_team_player_1,1.0,2.0,Possession,70.0,,1732.0,5.0,49.0,5.0,46.0,o,,,,Home,h,Defensive,,,,,,,316.0,Nelson,Velodrome,Possession,,,,61.0,3.0,349.0,346.0,72.0,1152.0,1883.0,1878.0,1886.0,Velodrome,Sam Downs,,P0002,VN0001,ET0013,,,,,,,,RL0008,N10004,N10010,N10010,SH1898100061
